feed_timestamp,iso_time_utc,route_id,trip_id,stop_id,delay_seconds,stop_name,stop_lat,stop_lon,route_short_name,route_long_name,route_type
1767150129,2025-12-31T03:02:09+00:00,121,115545209,15946,,S Peoria St & Mississippi Ave,39.695902,-104.847271,121,Peoria Street,3
1767150129,2025-12-31T03:02:09+00:00,121,115545223,15922,,Peoria St & Colfax Ave,39.739495,-104.847174,121,Peoria Street,3
1767150129,2025-12-31T03:02:09+00:00,121,115545225,15285,,Maxwell Pl & Yost Ct,39.794008,-104.828746,121,Peoria Street,3
1767150129,2025-12-31T03:02:09+00:00,130,115545388,17353,,Yale Ave & S Peoria St,39.667467,-104.846529,130,Yale / Buckley,3
1767150129,2025-12-31T03:02:09+00:00,130,115545431,19629,,S Chambers Rd & Yale Ave S,39.666219,-104.809793,130,Yale / Buckley,3
1767150129,2025-12-31T03:02:09+00:00,133,115545617,26394,,Hampden Ave & S Richfield St,39.652941,-104.783947,133,Hampden/Tower,3
1767150129,2025-12-31T03:02:09+00:00,133,115545650,23814,,S Ceylon Way & Columbia Pl,39.661469,-104.764844,133,Hampden/Tower,3
1767150129,2025-12-31T03:02:09+00:00,139,115545851,20368,,S Parker Rd & Lehigh Ave,39.647585,-104.829105,139,Quincy Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546376,35517,,Colfax Ave & Washington St,39.739978,-104.978515,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546381,12878,,Colfax Ave & Fillmore St,39.740091,-104.952698,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546382,12878,,Colfax Ave & Fillmore St,39.740091,-104.952698,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546385,12885,,Colfax Ave & Garfield St,39.740059,-104.943664,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546404,12933,,Colfax Ave & Moline St,39.74005,-104.853472,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546423,12878,,Colfax Ave & Fillmore St,39.740091,-104.952698,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546491,12875,,Colfax Ave & Elm St,39.740237,-104.930205,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546510,35516,,Colfax Ave & Washington St,39.740039,-104.978657,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546515,12875,,Colfax Ave & Elm St,39.740237,-104.930205,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546543,12922,,Colfax Ave & Krameria St,39.740238,-104.916716,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,15,115546544,12934,,Colfax Ave & Moline St,39.740257,-104.854673,15,East Colfax Avenue,3
1767150129,2025-12-31T03:02:09+00:00,153,115546822,21506,,Arapahoe Rd & S Havana St,39.595206,-104.865305,153,Chambers Road,3
1767150129,2025-12-31T03:02:09+00:00,153,115546823,19609,,S Chambers Rd & Yale Ave,39.665636,-104.810125,153,Chambers Road,3
1767150129,2025-12-31T03:02:09+00:00,153,115546824,18751,,Sable Blvd & 28th Ave,39.755721,-104.819473,153,Chambers Road,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547113,35368,,Colfax Ave & Steele St,39.740082,-104.949184,15L,East Colfax Limited,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547116,35368,,Colfax Ave & Steele St,39.740082,-104.949184,15L,East Colfax Limited,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547128,33694,,Decatur / Federal Station Gate D,39.738056,-105.022653,15L,East Colfax Limited,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547149,13020,,Colfax Ave & Yosemite St,39.740054,-104.883808,15L,East Colfax Limited,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547153,17714,,17th St & Champa St [ X Stop ],39.747089,-104.992397,15L,East Colfax Limited,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547157,35368,,Colfax Ave & Steele St,39.740082,-104.949184,15L,East Colfax Limited,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547178,12933,,Colfax Ave & Moline St,39.74005,-104.853472,15L,East Colfax Limited,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547196,17705,,15th St & Curtis St [ X Stop ],39.746779,-104.996523,15L,East Colfax Limited,3
1767150129,2025-12-31T03:02:09+00:00,15L,115547202,33693,,Decatur / Federal Station Gate C,39.737953,-105.023223,15L,East Colfax Limited,3
