feed_timestamp,iso_time_utc,route_id,trip_id,stop_id,delay_seconds
1767150129,2025-12-31T03:02:09+00:00,0,115538525,26273,
1767150129,2025-12-31T03:02:09+00:00,0,115538526,14978,
1767150129,2025-12-31T03:02:09+00:00,0,115538605,12463,
1767150129,2025-12-31T03:02:09+00:00,0,115538625,17772,
1767150129,2025-12-31T03:02:09+00:00,0,115538632,22268,
1767150129,2025-12-31T03:02:09+00:00,0,115538633,34326,
1767150129,2025-12-31T03:02:09+00:00,0,115538634,12463,
1767150129,2025-12-31T03:02:09+00:00,0,115538648,12463,
1767150129,2025-12-31T03:02:09+00:00,0B,115538843,26247,
1767150129,2025-12-31T03:02:09+00:00,0B,115538862,26245,
1767150129,2025-12-31T03:02:09+00:00,1,115538987,17717,
1767150129,2025-12-31T03:02:09+00:00,1,115539000,33212,
1767150129,2025-12-31T03:02:09+00:00,10,115539157,12994,
1767150129,2025-12-31T03:02:09+00:00,10,115539161,34384,
1767150129,2025-12-31T03:02:09+00:00,10,115539162,10170,
1767150129,2025-12-31T03:02:09+00:00,10,115539200,10178,
1767150129,2025-12-31T03:02:09+00:00,10,115539205,10117,
1767150129,2025-12-31T03:02:09+00:00,105,115542385,14163,
1767150129,2025-12-31T03:02:09+00:00,105,115542420,14224,
1767150129,2025-12-31T03:02:09+00:00,105,115542424,14163,
1767150129,2025-12-31T03:02:09+00:00,105,115542464,26071,
1767150129,2025-12-31T03:02:09+00:00,105,115542468,14148,
1767150129,2025-12-31T03:02:09+00:00,11,115543362,15420,
1767150129,2025-12-31T03:02:09+00:00,11,115543364,13657,
1767150129,2025-12-31T03:02:09+00:00,11,115543390,24858,
1767150129,2025-12-31T03:02:09+00:00,113G,115543632,34510,
1767150129,2025-12-31T03:02:09+00:00,113G,115543667,34525,
1767150129,2025-12-31T03:02:09+00:00,113B,115543669,34782,
1767150129,2025-12-31T03:02:09+00:00,113G,115543672,34781,
1767150129,2025-12-31T03:02:09+00:00,113G,115543673,34510,
1767150129,2025-12-31T03:02:09+00:00,113B,115543707,34782,
1767150129,2025-12-31T03:02:09+00:00,113G,115543734,34781,
1767150129,2025-12-31T03:02:09+00:00,117N,115544078,34668,
1767150129,2025-12-31T03:02:09+00:00,117N,115544117,35247,
1767150129,2025-12-31T03:02:09+00:00,117N,115544144,35246,
1767150129,2025-12-31T03:02:09+00:00,117N,115544145,35257,
1767150129,2025-12-31T03:02:09+00:00,12,115544498,20173,
1767150129,2025-12-31T03:02:09+00:00,12,115544499,13403,
1767150129,2025-12-31T03:02:09+00:00,12,115544560,14180,
1767150129,2025-12-31T03:02:09+00:00,12,115544561,14180,
1767150129,2025-12-31T03:02:09+00:00,12,115544562,14592,
1767150129,2025-12-31T03:02:09+00:00,120X,115544846,21994,
1767150129,2025-12-31T03:02:09+00:00,121,115545109,15937,
1767150129,2025-12-31T03:02:09+00:00,121,115545209,15946,
1767150129,2025-12-31T03:02:09+00:00,121,115545223,15922,
1767150129,2025-12-31T03:02:09+00:00,121,115545225,15285,
