feed_timestamp,iso_time_utc,route_id,trip_id,delay_seconds
1767148089,2025-12-31T02:28:09+00:00,0,115538527,
1767148089,2025-12-31T02:28:09+00:00,0,115538528,
1767148089,2025-12-31T02:28:09+00:00,0,115538529,
1767148089,2025-12-31T02:28:09+00:00,0,115538618,
1767148089,2025-12-31T02:28:09+00:00,0,115538625,
1767148089,2025-12-31T02:28:09+00:00,0,115538632,
1767148089,2025-12-31T02:28:09+00:00,0,115538633,
1767148089,2025-12-31T02:28:09+00:00,0,115538651,
1767148089,2025-12-31T02:28:09+00:00,0B,115538848,
1767148089,2025-12-31T02:28:09+00:00,0B,115538863,
1767148089,2025-12-31T02:28:09+00:00,1,115538987,
1767148089,2025-12-31T02:28:09+00:00,1,115539000,
1767148089,2025-12-31T02:28:09+00:00,10,115539200,
1767148089,2025-12-31T02:28:09+00:00,10,115539205,
1767148089,2025-12-31T02:28:09+00:00,10,115539235,
1767148089,2025-12-31T02:28:09+00:00,105,115542407,
1767148089,2025-12-31T02:28:09+00:00,105,115542419,
1767148089,2025-12-31T02:28:09+00:00,105,115542420,
1767148089,2025-12-31T02:28:09+00:00,105,115542445,
1767148089,2025-12-31T02:28:09+00:00,105,115542467,
1767148089,2025-12-31T02:28:09+00:00,105,115542468,
1767148089,2025-12-31T02:28:09+00:00,11,115543390,
1767148089,2025-12-31T02:28:09+00:00,113G,115543634,
1767148089,2025-12-31T02:28:09+00:00,113G,115543667,
1767148089,2025-12-31T02:28:09+00:00,113B,115543669,
1767148089,2025-12-31T02:28:09+00:00,113G,115543673,
1767148089,2025-12-31T02:28:09+00:00,113G,115543674,
1767148089,2025-12-31T02:28:09+00:00,113B,115543708,
1767148089,2025-12-31T02:28:09+00:00,117N,115544116,
1767148089,2025-12-31T02:28:09+00:00,117N,115544117,
1767148089,2025-12-31T02:28:09+00:00,117N,115544118,
1767148089,2025-12-31T02:28:09+00:00,117N,115544143,
1767148089,2025-12-31T02:28:09+00:00,117N,115544144,
